RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
,Gabe YorkIND,G,2,10.5,4.0,1.0,3.5,28.6,0.5,3.0,16.7,1.5,2.5,60.0,1.0,2.0,1.0,0.5,0.5,0,0,12.76
,Micah PotterDET,C,3,10.3,4.0,1.7,3.7,45.5,0.0,0.7,0.0,0.7,0.7,100.0,3.0,0.0,0.3,0.3,0.3,0,0,13.67
,Mac McClungLAL/CHI,SG,2,12.0,4.0,1.5,3.0,50.0,0.5,1.5,33.3,0.5,0.5,100.0,1.5,0.5,0.5,0.5,1.5,0,0,5.19
,Kyle GuyMIA,SG,19,9.8,3.9,1.4,3.4,40.0,0.7,2.1,35.0,0.4,0.6,66.7,0.9,0.9,0.4,0.1,0.7,0,0,9.56
,Didi LouzadaPOR/NO,SF,9,14.3,3.9,1.3,3.7,36.4,1.0,2.6,39.1,0.2,0.2,100.0,1.9,0.6,0.2,0.2,0.6,0,0,6.40
,Jamorko PickettDET,F,13,13.5,3.8,1.4,3.8,36.0,1.0,3.0,33.3,0.1,0.2,50.0,2.5,0.5,0.0,0.5,0.4,0,0,7.63
,Admiral SchofieldORL,SF,38,12.3,3.8,1.4,3.4,41.9,0.7,2.1,32.9,0.3,0.4,80.0,2.3,0.7,0.1,0.1,0.6,0,0,7.56
,Jared ButlerUTAH,SG,42,8.6,3.8,1.5,3.6,40.4,0.7,2.1,31.8,0.3,0.4,68.8,1.1,1.5,0.4,0.2,0.8,0,0,12.14
,Malcolm HillATL/CHI,F,19,11.2,3.8,1.3,2.7,46.2,0.7,1.9,36.1,0.6,0.7,78.6,1.8,0.4,0.4,0.2,0.2,0,0,12.74
,Aaron NesmithBOS,SF,52,11.0,3.8,1.4,3.5,39.6,0.6,2.2,27.0,0.4,0.5,80.8,1.7,0.4,0.4,0.1,0.6,0,0,7.35
,Jordan McLaughlinMIN,PG,62,14.5,3.8,1.4,3.2,44.0,0.4,1.4,31.8,0.5,0.6,75.0,1.5,2.9,0.9,0.2,0.6,1,0,13.47
,Sandro MamukelashviliMIL,PF,41,9.9,3.8,1.4,2.8,49.6,0.5,1.3,42.3,0.4,0.5,81.8,2.0,0.5,0.2,0.2,0.4,1,0,14.73
,Nathan KnightMIN,F,37,7.2,3.7,1.2,2.4,51.1,0.1,0.4,30.8,1.2,1.6,73.3,2.3,0.6,0.2,0.2,0.5,1,0,18.72
,Cheick DialloDET,F,3,10.3,3.7,1.0,2.7,37.5,0.0,0.0,0.0,1.7,2.0,83.3,4.0,0.0,0.3,0.0,0.3,0,0,12.32
,KZ OkpalaMIA,SF,21,11.6,3.7,1.4,3.3,43.5,0.4,1.2,34.6,0.4,0.5,72.7,2.0,0.7,0.2,0.3,0.2,0,0,10.49
,Enes FreedomBOS,C,35,11.7,3.7,1.5,2.8,52.6,0.1,0.1,40.0,0.7,0.8,85.7,4.6,0.2,0.1,0.4,0.6,2,0,15.03
,Brad WanamakerIND/WSH,PG,23,13.9,3.6,1.2,3.3,36.4,0.2,0.7,23.5,1.0,1.1,92.0,1.7,2.4,0.3,0.3,1.0,0,0,7.53
,Tomas SatoranskySA/NO/WSH,SG,55,16.5,3.6,1.3,3.5,37.7,0.2,1.0,20.8,0.8,1.0,79.6,2.3,3.3,0.5,0.1,0.8,1,0,10.19
,Isaiah JoePHI,SG,55,11.1,3.6,1.1,3.2,35.0,0.8,2.5,33.3,0.5,0.6,93.5,1.0,0.6,0.3,0.1,0.3,0,0,7.71
,Thanasis AntetokounmpoMIL,SF,48,9.9,3.6,1.5,2.7,54.7,0.0,0.3,14.3,0.6,1.0,63.0,2.1,0.5,0.3,0.3,0.5,0,0,12.57
,Tony SnellPOR/NO,SF,53,15.5,3.5,1.3,3.2,40.4,0.8,2.4,35.2,0.1,0.1,100.0,1.9,0.5,0.3,0.2,0.4,0,0,6.37
,Jarrett CulverMEM,G,37,9.1,3.5,1.4,3.6,37.8,0.3,1.3,25.5,0.4,0.9,47.1,1.3,0.9,0.5,0.1,0.5,0,0,8.72
,Gorgui DiengATL,C,44,8.4,3.5,1.2,2.5,47.3,0.7,1.5,42.6,0.4,0.6,73.1,2.8,0.8,0.3,0.3,0.5,0,0,17.38
,Elijah HughesPOR/UTAH,F,36,12.1,3.5,1.3,4.0,32.6,0.7,2.6,26.3,0.2,0.3,77.8,1.6,0.6,0.4,0.2,0.5,0,0,5.46
,Paul MillsapBKN/PHI,PF,33,11.4,3.5,1.4,3.5,39.1,0.2,1.1,22.9,0.5,0.7,70.8,3.5,0.9,0.3,0.4,0.6,0,0,10.79
,Alfonzo McKinnieCHI,F,17,12.1,3.5,1.4,3.6,39.3,0.5,1.6,33.3,0.1,0.5,25.0,1.9,0.3,0.1,0.2,0.4,0,0,5.68
,Paul WatsonOKC,SG,9,17.3,3.4,1.3,3.9,34.3,0.7,2.9,23.1,0.1,0.2,50.0,3.0,0.9,0.3,0.3,0.4,0,0,5.72
,Nerlens NoelNY,C,25,22.5,3.4,1.3,2.4,53.3,0.0,0.1,0.0,0.8,1.2,70.0,5.6,0.9,1.2,1.2,0.8,0,0,11.81
,Kent BazemoreLAL,SF,39,14.0,3.4,1.2,3.6,32.4,0.7,2.1,36.3,0.3,0.4,76.5,1.8,0.9,0.6,0.2,0.5,0,0,6.04
,Tyler CookCHI,F,20,10.0,3.4,1.2,1.9,60.5,0.0,0.0,0.0,1.1,1.6,65.6,2.7,0.2,0.2,0.2,0.4,0,0,13.04
,Tremont WatersWSH/TOR,G,3,16.7,3.3,1.3,4.7,28.6,0.7,3.0,22.2,0.0,0.0,0.0,1.3,2.3,1.7,0.0,1.3,0,0,5.46
,Killian TillieMEM,SF,36,12.8,3.3,1.2,3.5,33.9,0.8,2.4,31.4,0.1,0.2,62.5,1.7,0.6,0.6,0.4,0.4,0,0,7.64
,Juancho HernangomezBOS/SA/UTAH,PF,40,11.1,3.3,1.1,2.7,41.5,0.6,1.7,34.8,0.5,0.9,55.9,2.5,0.5,0.4,0.3,0.4,0,0,11.56
,Semi OjeleyeLAC/MIL,PF,30,13.5,3.3,1.0,3.3,30.3,0.5,1.7,30.0,0.8,1.0,79.3,2.5,0.3,0.2,0.2,0.3,0,0,6.69
,Sterling BrownDAL,SF,49,12.8,3.3,1.2,3.2,38.1,0.6,1.9,30.4,0.3,0.3,93.3,3.0,0.7,0.3,0.1,0.5,2,0,8.46
,Tim FrazierCLE/ORL,PG,12,17.3,3.3,1.2,3.8,31.1,0.5,1.4,35.3,0.4,0.8,55.6,1.6,2.8,0.3,0.1,1.3,0,0,3.32
,Trent ForrestUTAH,G,60,12.8,3.3,1.3,2.6,49.0,0.1,0.5,18.5,0.6,0.8,79.2,1.7,1.8,0.5,0.1,0.8,0,0,10.89
,Gabriel LundbergPHX,F,4,11.0,3.3,1.3,4.8,26.3,0.8,2.0,37.5,0.0,0.0,0.0,1.8,2.8,0.8,0.0,0.8,0,0,7.73
,Daishen NixHOU,SG,24,10.9,3.2,1.1,2.8,40.3,0.3,1.1,26.9,0.7,1.3,53.3,1.4,1.7,0.6,0.0,1.1,0,0,8.13
,Dalano BantonTOR,PG,64,10.9,3.2,1.3,3.2,41.1,0.2,0.8,25.5,0.4,0.7,59.1,1.9,1.5,0.4,0.2,0.8,0,0,10.06
,Jahmi'us RamseySAC,SG,19,7.1,3.2,1.3,3.1,41.4,0.3,0.9,27.8,0.4,0.7,50.0,0.7,0.4,0.1,0.1,0.3,0,0,7.92
,Rodney HoodLAC/MIL,SG,52,13.6,3.1,1.1,3.0,36.9,0.6,1.8,33.0,0.3,0.4,89.5,1.5,0.7,0.3,0.1,0.2,0,0,7.20
,Justin RobinsonSAC/MIL/DET,F,25,12.2,3.1,1.1,3.7,30.1,0.7,2.4,29.5,0.2,0.3,50.0,0.8,1.3,0.4,0.0,0.7,0,0,3.64
,Kevin Knox IIATL/NY,SF,30,7.4,3.1,1.0,2.8,36.5,0.5,1.8,27.8,0.5,0.7,72.7,1.5,0.3,0.1,0.1,0.2,0,0,10.85
,Devontae CacokSA,PF,15,8.1,3.1,1.4,2.1,67.7,0.0,0.0,0.0,0.3,0.5,57.1,2.8,0.4,0.5,0.5,0.2,0,0,20.22
,Keljin BlevinsPOR,SF,31,11.3,3.1,1.1,3.6,30.6,0.7,2.3,29.2,0.2,0.4,54.5,1.5,0.6,0.4,0.0,0.5,0,0,4.84
,Paul ReedPHI,SF,38,8.0,3.1,1.4,2.5,56.3,0.1,0.2,25.0,0.2,0.4,42.9,2.4,0.4,0.9,0.4,0.3,0,0,21.36
,Elfrid PaytonPHX,PG,50,11.0,3.0,1.3,3.5,38.3,0.1,0.4,22.2,0.2,0.6,37.5,1.8,2.0,0.5,0.1,0.9,0,0,7.89
,Paris BassPHX,F,2,3.5,3.0,1.0,3.0,33.3,0.0,1.0,0.0,1.0,1.0,100.0,2.0,0.0,0.5,0.0,1.0,0,0,14.03
,Matt RyanBOS,F,1,5.0,3.0,1.0,5.0,20.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,3.56
,Nick RichardsCHA,C,50,7.3,3.0,1.2,1.8,66.7,0.0,0.0,0.0,0.6,0.9,69.8,1.7,0.3,0.2,0.4,0.5,0,0,15.98
,Javonte SmartMIA/MIL,G,17,11.8,3.0,1.1,3.5,31.7,0.5,1.6,29.6,0.3,0.4,83.3,1.4,0.9,0.4,0.2,0.6,0,0,5.12
,Daniel OturuTOR,C,3,9.0,3.0,1.0,2.0,50.0,0.0,0.3,0.0,1.0,1.7,60.0,1.7,0.0,0.0,0.7,0.0,0,0,13.43
,Neemias QuetaSAC,C,15,8.0,3.0,1.1,2.5,44.7,0.0,0.0,0.0,0.7,1.1,64.7,2.1,0.4,0.1,0.5,0.4,0,0,12.79
,Charles BasseyPHI,C,23,7.3,3.0,1.3,2.0,63.8,0.0,0.2,0.0,0.4,0.5,75.0,2.7,0.3,0.2,0.7,0.3,1,0,21.50
,Trevon ScottCLE,F,2,5.5,3.0,1.5,3.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0,0,20.54
,Tony BradleyCHI,C,55,10.0,3.0,1.3,2.2,58.5,0.0,0.0,0.0,0.3,0.5,65.5,3.4,0.5,0.2,0.6,0.6,0,0,14.94
,Bruno FernandoBOS/HOU,PF,30,5.1,2.9,1.2,1.8,65.5,0.0,0.1,50.0,0.5,0.8,62.5,1.8,0.2,0.0,0.4,0.5,2,0,21.25
,Denzel ValentineUTAH/CLE,G,24,9.3,2.9,1.0,2.8,37.9,0.8,2.0,40.4,0.0,0.0,0.0,1.8,0.5,0.3,0.0,0.5,0,0,8.10
,Skylar MaysATL,SG,28,7.9,2.9,1.1,2.3,50.0,0.3,0.9,32.0,0.3,0.3,88.9,0.9,0.6,0.3,0.0,0.4,1,0,11.76
,Vernon Carey Jr.WSH/CHA,C,7,6.3,2.9,1.0,1.9,53.8,0.0,0.0,0.0,0.9,1.9,46.2,1.7,0.0,0.3,0.1,0.4,0,0,15.87
,Tyler JohnsonSA/PHI,G,6,15.2,2.8,1.0,3.3,30.0,0.8,2.2,38.5,0.0,0.0,0.0,2.0,1.2,0.5,0.5,0.3,0,0,7.13
,Tyrone WallaceNO,G,6,12.5,2.8,1.2,3.3,35.0,0.3,1.3,25.0,0.2,0.8,20.0,1.3,0.2,0.5,0.2,0.3,0,0,2.57
,Aleem FordORL,F,5,14.8,2.8,1.2,4.0,30.0,0.4,3.0,13.3,0.0,0.0,0.0,3.0,0.4,0.2,0.0,0.8,0,0,0.50
,Quinndary WeatherspoonGS,SG,11,6.6,2.7,1.1,1.9,57.1,0.1,0.5,20.0,0.5,0.5,100.0,1.3,0.5,0.1,0.1,0.3,0,0,12.11
,Jay ScrubbLAC,G,18,6.7,2.7,1.0,2.6,39.1,0.3,1.2,28.6,0.4,0.6,70.0,0.9,0.4,0.2,0.2,0.4,0,0,9.30
,Josh OkogieMIN,SF,49,10.5,2.7,0.9,2.1,40.4,0.3,1.0,29.8,0.7,1.0,68.6,1.4,0.5,0.5,0.2,0.5,0,0,9.04
,Gary ClarkNO,F,38,9.9,2.7,0.9,2.3,37.5,0.7,1.8,40.0,0.2,0.3,70.0,2.4,0.5,0.3,0.2,0.3,0,0,11.42
,Devon DotsonCHI,G,11,7.7,2.6,1.0,2.1,47.8,0.2,0.8,22.2,0.5,0.8,55.6,0.8,1.4,0.1,0.0,0.5,0,0,9.88
,Chris SilvaMIA/MIN,F,10,9.1,2.6,0.8,1.5,53.3,0.0,0.0,0.0,1.0,1.2,83.3,3.6,0.7,0.0,0.1,0.8,0,0,11.62
,Gabriel DeckOKC,SF,7,8.0,2.6,1.1,2.0,57.1,0.3,0.6,50.0,0.0,0.0,0.0,0.9,0.7,0.1,0.0,0.3,0,0,11.57
,Theo PinsonDAL,G,19,7.8,2.5,0.7,2.1,35.9,0.5,1.6,33.3,0.5,0.5,100.0,1.1,0.9,0.3,0.1,0.3,0,0,11.93
,Juwan MorganBOS/TOR,F,2,15.5,2.5,1.0,1.5,66.7,0.5,1.0,50.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0,0,8.28
,Sam HauserBOS,SF,26,6.1,2.5,0.9,1.9,46.0,0.7,1.7,43.2,0.0,0.0,0.0,1.1,0.4,0.0,0.1,0.1,0,0,14.80
,Udonis HaslemMIA,PF,13,6.4,2.5,1.1,2.4,45.2,0.1,0.3,25.0,0.2,0.2,100.0,1.9,0.3,0.1,0.1,0.4,0,0,8.65
,Abdel NaderPHX,SF,14,10.4,2.4,0.9,2.5,34.3,0.3,1.0,28.6,0.4,0.7,60.0,1.9,0.5,0.6,0.3,0.8,0,0,4.88
,Ish WainrightPHX,F,45,8.0,2.4,0.9,2.3,39.4,0.4,1.3,32.2,0.2,0.3,58.3,1.2,0.3,0.4,0.1,0.3,0,0,9.40
,Jake LaymanMIN,F,34,6.8,2.4,0.9,2.1,41.1,0.2,1.0,22.9,0.4,0.5,72.2,1.1,0.3,0.2,0.1,0.3,0,0,9.07
,Jalen JohnsonATL,SF,22,5.5,2.4,1.0,1.9,53.7,0.1,0.6,23.1,0.2,0.3,71.4,1.2,0.1,0.1,0.1,0.4,0,0,11.34
,Bol BolDEN,C,14,5.8,2.4,1.1,1.9,55.6,0.1,0.3,25.0,0.1,0.4,40.0,1.4,0.4,0.1,0.1,0.3,0,0,13.58
,Freddie GillespieORL,SF,9,13.2,2.3,1.0,2.4,40.9,0.0,0.1,0.0,0.3,0.8,42.9,4.0,0.6,0.3,1.0,0.6,0,0,9.47
,Haywood HighsmithMIA,F,19,8.6,2.3,0.8,2.4,34.8,0.5,1.5,32.1,0.1,0.3,40.0,1.4,0.3,0.1,0.2,0.2,0,0,7.01
,Nik StauskasBOS/MIA,G,8,4.9,2.3,0.6,1.8,35.7,0.5,1.3,40.0,0.5,0.8,66.7,0.4,0.3,0.0,0.0,0.1,0,0,10.50
,Justin ChampagnieTOR,SF,36,7.8,2.3,0.9,1.9,46.3,0.3,0.8,35.7,0.3,0.3,100.0,2.0,0.3,0.2,0.1,0.2,0,0,13.58
,Miles McBrideNY,PG,40,9.3,2.2,0.8,2.7,29.6,0.4,1.7,25.0,0.2,0.3,66.7,1.1,1.0,0.4,0.0,0.1,0,0,6.17
,Dylan WindlerCLE,SG,50,9.2,2.2,0.7,2.0,37.8,0.4,1.4,30.0,0.3,0.4,83.3,1.8,0.7,0.3,0.1,0.3,0,0,8.80
,Jericho SimsNY,C,41,13.5,2.2,1.0,1.3,72.2,0.0,0.0,0.0,0.3,0.7,41.4,4.1,0.5,0.3,0.5,0.5,1,0,11.65
,Justin JacksonBOS/PHX,SF,7,5.1,2.1,0.7,2.1,33.3,0.4,1.3,33.3,0.3,0.3,100.0,1.0,0.3,0.0,0.0,0.1,0,0,7.72
,Jeff Dowtin Jr.MIL/ORL/GS,PG,9,12.0,2.1,0.9,2.9,30.8,0.1,1.0,11.1,0.2,0.2,100.0,2.0,1.1,0.6,0.1,0.6,0,0,6.78
,Joe WieskampSA,SF,29,7.1,2.1,0.7,1.9,35.7,0.5,1.5,32.6,0.2,0.4,53.8,0.5,0.3,0.1,0.1,0.1,0,0,7.14
,JT ThorCHA,PF,33,7.9,2.0,0.7,1.7,43.6,0.2,0.8,25.9,0.4,0.6,60.0,1.3,0.6,0.2,0.3,0.3,0,0,9.73
,Joe JohnsonBOS,G,1,2.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,38.92
,Langston GallowayMIL/BKN,SG,7,15.3,2.0,0.9,3.7,23.1,0.3,2.3,12.5,0.0,0.0,0.0,2.6,1.7,0.1,0.0,0.9,0,0,0.72
,Norvel PelleBOS/UTAH,PF,3,6.3,2.0,1.0,1.7,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,0.7,0,0,12.29
,Damyean DotsonNY,SG,2,10.5,2.0,1.0,2.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,0,6.39
,Shaquille HarrisonBKN/MEM,G,2,11.5,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5,0.5,0.5,1.0,0,0,4.62
,Craig SwordWSH,G,3,6.3,2.0,1.0,1.3,75.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,1.3,0.0,0.3,0,0,14.27
,Luke KornetBOS/MIL/CLE,C,15,6.9,2.0,0.9,1.8,48.1,0.0,0.3,0.0,0.3,0.4,66.7,1.9,0.6,0.3,0.2,0.0,0,0,17.16
,Ahmad CaverIND,G,1,1.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,76.58
,Cassius WinstonWSH,PG,7,5.6,2.0,0.6,1.6,36.4,0.3,0.9,33.3,0.6,0.6,100.0,0.1,1.0,0.0,0.0,0.4,0,0,6.01
,Jemerrio JonesLAL,F,2,7.5,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0,0,0,14.85
,Usman GarubaHOU,PF,24,10.0,2.0,0.8,1.8,43.2,0.2,0.8,25.0,0.2,0.3,71.4,3.5,0.7,0.4,0.5,0.3,0,0,12.95
,Chris ChiozzaGS,G,34,10.9,2.0,0.7,2.4,29.6,0.5,1.6,32.1,0.1,0.1,66.7,1.1,1.9,0.4,0.0,0.9,0,0,4.45
,Marko SimonovicCHI,C,9,3.9,1.9,0.4,1.7,26.7,0.1,0.6,20.0,0.9,1.2,72.7,1.1,0.0,0.1,0.1,0.2,0,0,10.21
,Alize JohnsonNO/CHI/WSH,F,23,7.3,1.8,0.7,1.7,43.6,0.0,0.2,0.0,0.3,0.5,58.3,2.7,0.4,0.2,0.0,0.5,0,0,10.72
,Eugene OmoruyiDAL,F,4,4.5,1.8,0.5,1.3,40.0,0.3,0.5,50.0,0.5,1.0,50.0,1.8,0.5,0.0,0.0,0.0,0,0,17.04
,Brodric ThomasBOS,G,12,5.0,1.8,0.7,1.5,44.4,0.2,0.8,22.2,0.3,0.4,60.0,0.8,0.9,0.1,0.1,0.5,0,0,10.05
,Willie Cauley-SteinDAL/PHI,C,20,9.2,1.7,0.8,1.8,45.7,0.1,0.1,50.0,0.1,0.1,50.0,2.0,0.5,0.3,0.2,0.4,0,0,8.30
,Isaiah ToddWSH,PF,12,6.2,1.7,0.6,2.2,26.9,0.3,1.3,25.0,0.2,0.5,33.3,1.0,0.3,0.3,0.2,0.3,0,0,4.77
,Wayne SeldenNY,F,3,6.3,1.7,0.3,1.3,25.0,0.3,0.7,50.0,0.7,1.3,50.0,0.3,0.3,0.0,0.0,0.0,0,0,4.27
,Kevin PangosCLE,G,24,6.9,1.6,0.6,1.9,32.6,0.3,1.1,23.1,0.1,0.2,75.0,0.5,1.3,0.1,0.0,0.3,0,0,6.50
,Ryan ArcidiaconoNY,G,10,7.6,1.6,0.6,1.2,50.0,0.4,0.9,44.4,0.0,0.0,0.0,0.8,0.4,0.1,0.0,0.3,0,0,6.14
,Emmanuel MudiaySAC,G,2,5.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,1.5,2.0,75.0,0.0,2.0,0.5,0.0,0.5,0,0,12.31
,Rob EdwardsOKC,G,2,5.5,1.5,0.5,2.0,25.0,0.5,2.0,25.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0,0,-0.82
,Leandro BolmaroMIN,SG,35,6.9,1.4,0.5,1.5,31.5,0.1,0.5,27.8,0.3,0.4,84.6,1.2,0.6,0.2,0.0,0.4,0,0,5.44
,Malik FittsBOS/UTAH,F,15,4.2,1.4,0.5,1.3,42.1,0.3,0.7,50.0,0.0,0.0,0.0,1.1,0.3,0.0,0.0,0.1,0,0,10.76
,Charlie Brown Jr.DAL/PHI,G,22,8.1,1.4,0.5,1.8,25.6,0.0,0.5,8.3,0.4,0.5,90.0,1.5,0.3,0.5,0.2,0.2,0,0,6.48
,Darren CollisonLAL,PG,3,12.3,1.3,0.7,2.3,28.6,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.7,0.3,0.0,0.3,0,0,-0.20
,Moses WrightLAC/DAL,F,4,3.8,1.3,0.3,1.0,25.0,0.0,0.3,0.0,0.8,0.8,100.0,0.8,0.5,0.0,0.3,0.0,0,0,18.33
,Jordan SchakelWSH,F,4,7.5,1.3,0.3,2.8,9.1,0.3,1.5,16.7,0.5,0.5,100.0,2.0,0.0,0.3,0.0,0.3,0,0,-1.21
,Myles PowellPHI,G,11,4.7,1.2,0.5,1.5,29.4,0.1,0.5,16.7,0.2,0.2,100.0,0.5,0.3,0.1,0.0,0.3,0,0,0.24
,Tacko FallCLE,C,11,5.4,1.1,0.5,1.1,41.7,0.0,0.0,0.0,0.2,0.6,28.6,2.1,0.2,0.0,0.5,0.3,0,0,11.32
,Marcus GarrettMIA,SG,12,10.7,1.1,0.4,1.8,23.8,0.1,0.3,25.0,0.2,0.4,40.0,1.9,0.6,0.4,0.3,0.2,0,0,4.68
,Yves PonsMEM,SG,12,5.9,1.1,0.4,1.3,31.3,0.3,0.8,33.3,0.0,0.2,0.0,1.0,0.1,0.1,0.3,0.1,0,0,5.91
,Petr CornelieDEN,F,13,2.9,1.1,0.4,1.2,33.3,0.1,0.6,12.5,0.2,0.3,75.0,1.1,0.2,0.1,0.1,0.3,0,0,9.66
,RJ Nembhard Jr.CLE,SG,14,4.5,1.1,0.4,1.3,33.3,0.0,0.1,0.0,0.2,0.3,75.0,0.5,0.9,0.1,0.0,0.2,0,0,8.06
,Kai JonesCHA,PF,21,3.0,1.0,0.4,0.7,64.3,0.0,0.1,50.0,0.1,0.4,37.5,0.5,0.2,0.0,0.1,0.3,0,0,9.26
,Dakota MathiasMEM,G,6,2.7,1.0,0.3,1.0,33.3,0.3,1.0,33.3,0.0,0.0,0.0,0.3,0.2,0.2,0.0,0.0,0,0,11.04
,McKinley Wright IVMIN,PG,5,3.8,1.0,0.4,0.6,66.7,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0,0,9.57
,Shaq BuchananMEM,F,2,5.0,1.0,0.5,2.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0,0,0.62
,Deividas SirvydisDET,F,3,9.0,1.0,0.3,3.3,10.0,0.3,2.3,14.3,0.0,0.0,0.0,2.0,0.3,1.0,0.3,0.0,0,0,0.14
,Tyrell TerryMEM,PG,2,1.5,1.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20.07
,Jaden SpringerPHI,G,2,3.0,1.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0,0,26.42
,Ed DavisCLE,C,31,6.5,0.9,0.4,0.5,68.8,0.0,0.0,0.0,0.2,0.5,42.9,2.1,0.2,0.1,0.3,0.2,0,0,9.35
,Carlik JonesDAL/DEN,G,5,4.6,0.8,0.2,1.8,11.1,0.0,0.2,0.0,0.4,0.4,100.0,0.6,1.0,0.2,0.0,0.6,0,0,-1.75
,Isaac BongaTOR,G,15,4.6,0.8,0.2,0.9,23.1,0.1,0.3,25.0,0.3,0.5,62.5,0.5,0.3,0.5,0.1,0.1,0,0,8.75
,Chandler HutchisonPHX,SF,6,3.7,0.7,0.2,0.3,50.0,0.0,0.0,0.0,0.3,0.3,100.0,0.8,0.3,0.0,0.0,0.7,0,0,1.01
,DaQuan JeffriesMEM,SG,3,3.0,0.7,0.3,0.7,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0,0,8.38
,Jaylen MorrisSA,F,3,5.3,0.7,0.0,2.0,0.0,0.0,0.7,0.0,0.7,1.3,50.0,0.7,0.7,0.0,0.0,0.3,0,0,-11.44
,Jarron CumberlandPOR,SG,3,4.0,0.7,0.3,0.7,50.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0,0,8.44
,Solomon HillATL,SF,13,10.7,0.6,0.2,1.5,15.0,0.2,1.0,15.4,0.0,0.0,0.0,1.8,0.9,0.3,0.2,0.1,0,0,3.30
,Robert Woodard IISAC/SA,F,12,3.5,0.6,0.2,1.3,12.5,0.1,0.3,25.0,0.2,0.2,100.0,0.9,0.3,0.1,0.1,0.1,0,0,2.12
,Xavier SneedUTAH/MEM,F,9,4.3,0.6,0.2,1.1,20.0,0.1,0.9,12.5,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0,0,0.46
,Sharife CooperATL,PG,13,3.0,0.5,0.2,1.1,21.4,0.1,0.5,16.7,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.4,0,0,-5.39
,Scottie LewisCHA,SG,2,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.5,0.5,0.0,0.0,0,0,14.61
,Aaron HenryPHI,SF,6,2.8,0.3,0.2,0.8,20.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.3,0,0,-7.34
,Miye OniNO/UTAH,SG,16,2.8,0.3,0.1,0.6,22.2,0.1,0.5,12.5,0.0,0.1,0.0,0.4,0.3,0.0,0.0,0.1,0,0,0.40
,Joel AyayiWSH,G,7,2.9,0.3,0.1,0.9,16.7,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0,0,3.43
,George KingDAL,F,4,4.8,0.3,0.0,1.3,0.0,0.0,1.0,0.0,0.3,0.5,50.0,1.3,0.0,0.0,0.0,0.3,0,0,-12.28
